308.335, 129.492, 4.496,  4.379 False
308.184, 129.493, 4.527,  4.412 False
308.032, 129.494, 4.560,  4.445 False
307.880, 129.494, 4.591,  4.478 False
307.726, 129.495, 4.624,  4.511 False
307.571, 129.495, 4.655,  4.544 False
307.415, 129.495, 4.687,  4.577 False
307.258, 129.496, 4.718,  4.610 False
307.100, 129.496, 4.751,  4.643 False
306.941, 129.496, 4.781,  4.676 False
306.780, 129.497, 4.814,  4.709 False
306.619, 129.498, 4.844,  4.742 False
306.457, 129.499, 4.876,  4.775 False
306.294, 129.501, 4.905,  4.808 False
306.129, 129.503, 4.938,  4.841 False
305.964, 129.506, 4.967,  4.874 False
305.798, 129.509, 5.000,  4.907 False
305.630, 129.513, 5.030,  4.940 False
305.462, 129.517, 5.064,  4.973 False
305.292, 129.522, 5.094,  5.006 False
305.122, 129.527, 5.128,  5.039 False
304.950, 129.532, 5.157,  5.072 False
304.777, 129.537, 5.190,  5.105 False
304.604, 129.543, 5.211,  5.138 False
304.430, 129.550, 5.217,  5.171 False
304.257, 129.557, 5.208,  5.204 False
304.084, 129.563, 5.206,  5.237 False
303.911, 129.570, 5.212,  5.270 False
303.737, 129.578, 5.230,  5.303 False
303.562, 129.585, 5.255,  5.336 False
303.386, 129.592, 5.290,  5.369 False
303.209, 129.600, 5.330,  5.402 False
303.030, 129.608, 5.375,  5.435 False
302.850, 129.616, 5.419,  5.468 False
302.668, 129.624, 5.467,  5.501 False
302.484, 129.633, 5.512,  5.534 False
302.300, 129.642, 5.558,  5.567 False
302.113, 129.651, 5.599,  5.600 False
301.926, 129.661, 5.641,  5.633 False
301.737, 129.672, 5.679,  5.666 False
301.547, 129.682, 5.718,  5.699 False
301.356, 129.693, 5.754,  5.732 False
301.163, 129.703, 5.791,  5.765 False
300.970, 129.714, 5.825,  5.798 False
300.775, 129.725, 5.862,  5.831 False
300.579, 129.736, 5.896,  5.864 False
300.382, 129.747, 5.931,  5.897 False
300.184, 129.758, 5.965,  5.930 False
299.984, 129.769, 6.000,  5.963 False
299.784, 129.781, 6.033,  5.996 False
299.582, 129.793, 6.068,  6.029 False
299.379, 129.804, 6.100,  6.062 False
299.176, 129.816, 6.134,  6.095 False
298.971, 129.829, 6.166,  6.128 False
298.765, 129.841, 6.200,  6.161 False
298.558, 129.854, 6.232,  6.194 False
298.349, 129.866, 6.266,  6.227 False
298.140, 129.880, 6.296,  6.260 False
297.930, 129.894, 6.330,  6.293 False
297.719, 129.907, 6.361,  6.326 False
297.506, 129.921, 6.394,  6.359 False
297.293, 129.935, 6.424,  6.392 False
297.078, 129.949, 6.457,  6.425 False
296.863, 129.964, 6.487,  6.458 False
296.646, 129.978, 6.520,  6.491 False
296.429, 129.993, 6.550,  6.524 False
296.210, 130.008, 6.583,  6.557 False
295.990, 130.023, 6.613,  6.590 False
295.770, 130.039, 6.645,  6.623 False
295.548, 130.054, 6.675,  6.656 False
295.325, 130.070, 6.707,  6.689 False
295.101, 130.086, 6.737,  6.722 False
294.877, 130.102, 6.769,  6.755 False
294.651, 130.118, 6.798,  6.788 False
294.424, 130.135, 6.830,  6.821 False
294.196, 130.151, 6.858,  6.854 False
293.967, 130.167, 6.890,  6.887 False
293.738, 130.184, 6.918,  6.920 False
293.507, 130.201, 6.949,  6.953 False
293.275, 130.217, 6.976,  6.986 False
293.042, 130.234, 7.007,  7.019 False
292.809, 130.251, 7.035,  7.052 False
292.574, 130.268, 7.065,  7.085 False
292.339, 130.286, 7.093,  7.118 False
292.102, 130.303, 7.124,  7.151 False
291.865, 130.321, 7.152,  7.184 False
291.626, 130.338, 7.183,  7.217 False
291.387, 130.356, 7.211,  7.250 False
291.146, 130.374, 7.242,  7.283 False
290.905, 130.392, 7.269,  7.316 False
290.662, 130.410, 7.300,  7.349 False
290.419, 130.428, 7.328,  7.382 False
290.175, 130.446, 7.359,  7.415 False
289.929, 130.464, 7.386,  7.448 False
289.683, 130.481, 7.417,  7.481 False
289.436, 130.499, 7.445,  7.514 False
289.187, 130.516, 7.476,  7.547 False
288.938, 130.534, 7.503,  7.580 False
288.688, 130.552, 7.534,  7.613 False
288.437, 130.570, 7.562,  7.646 False
288.184, 130.588, 7.592,  7.679 False
287.931, 130.606, 7.619,  7.712 False
287.677, 130.623, 7.650,  7.745 False
287.422, 130.640, 7.677,  7.778 False
287.166, 130.657, 7.707,  7.811 False
286.909, 130.673, 7.734,  7.844 False
286.651, 130.690, 7.765,  7.877 False
286.392, 130.706, 7.793,  7.910 False
286.132, 130.723, 7.823,  7.943 False
285.871, 130.739, 7.851,  7.976 False
285.609, 130.755, 7.882,  8.009 False
285.346, 130.770, 7.908,  8.042 False
285.082, 130.783, 7.938,  8.075 False
284.817, 130.796, 7.966,  8.108 False
284.551, 130.810, 7.998,  8.141 False
284.284, 130.823, 8.026,  8.174 False
284.016, 130.836, 8.057,  8.207 False
283.747, 130.848, 8.085,  8.240 False
283.477, 130.860, 8.117,  8.273 False
283.206, 130.871, 8.144,  8.306 False
282.934, 130.882, 8.175,  8.339 False
282.661, 130.892, 8.203,  8.372 False
282.387, 130.902, 8.234,  8.405 False
282.112, 130.911, 8.260,  8.438 False
281.836, 130.919, 8.283,  8.471 False
281.560, 130.928, 8.301,  8.504 False
281.283, 130.936, 8.317,  8.537 False
281.005, 130.944, 8.330,  8.570 False
280.728, 130.951, 8.340,  8.603 False
280.450, 130.958, 8.349,  8.636 False
280.171, 130.964, 8.358,  8.669 False
279.893, 130.970, 8.365,  8.702 False
279.614, 130.976, 8.371,  8.735 False
279.335, 130.981, 8.376,  8.768 False
279.056, 130.985, 8.380,  8.801 False
278.777, 130.989, 8.384,  8.834 False
278.497, 130.993, 8.388,  8.867 False
278.218, 130.997, 8.391,  8.900 False
277.938, 131.000, 8.393,  8.933 False
277.658, 131.004, 8.395,  8.966 False
277.379, 131.007, 8.397,  8.999 False
277.099, 131.009, 8.399,  9.032 False
276.819, 131.011, 8.399,  9.065 False
276.539, 131.012, 8.400,  9.098 False
276.259, 131.014, 8.401,  9.131 False
275.979, 131.014, 8.401,  9.164 False
275.699, 131.014, 8.402,  9.197 False
275.419, 131.014, 8.402,  9.230 False
275.139, 131.013, 8.402,  9.263 False
274.859, 131.013, 8.402,  9.296 False
274.579, 131.012, 8.402,  9.329 False
274.299, 131.011, 8.401,  9.362 False
274.019, 131.010, 8.401,  9.395 False
273.739, 131.008, 8.400,  9.428 False
273.459, 131.006, 8.400,  9.461 False
273.179, 131.004, 8.399,  9.494 False
272.899, 131.001, 8.398,  9.527 False
272.619, 130.997, 8.397,  9.560 False
272.339, 130.992, 8.396,  9.593 False
272.060, 130.988, 8.396,  9.626 False
271.780, 130.984, 8.395,  9.659 False
271.500, 130.980, 8.394,  9.692 False
271.220, 130.975, 8.393,  9.725 False
270.941, 130.970, 8.392,  9.758 False
270.661, 130.964, 8.391,  9.791 False
270.382, 130.959, 8.390,  9.824 False
270.102, 130.954, 8.389,  9.857 False
269.822, 130.948, 8.388,  9.890 False
269.543, 130.942, 8.387,  9.923 False
269.263, 130.934, 8.386,  9.956 False
268.984, 130.926, 8.385,  9.989 False
268.705, 130.919, 8.384, 10.022 False
268.425, 130.912, 8.383, 10.055 False
268.146, 130.904, 8.382, 10.088 False
267.867, 130.896, 8.381, 10.121 False
267.588, 130.889, 8.380, 10.154 False
267.308, 130.880, 8.379, 10.187 False
267.029, 130.870, 8.378, 10.220 False
266.750, 130.861, 8.377, 10.253 False
266.471, 130.852, 8.376, 10.286 False
266.192, 130.843, 8.375, 10.319 False
265.913, 130.833, 8.374, 10.352 False
265.634, 130.823, 8.373, 10.385 False
265.355, 130.813, 8.373, 10.418 False
265.076, 130.803, 8.372, 10.451 False
264.798, 130.794, 8.371, 10.484 False
264.519, 130.783, 8.370, 10.517 False
264.240, 130.773, 8.369, 10.550 False
263.961, 130.763, 8.368, 10.583 False
263.683, 130.752, 8.367, 10.616 False
263.404, 130.741, 8.367, 10.649 False
263.125, 130.730, 8.366, 10.682 False
262.847, 130.719, 8.365, 10.715 False
262.568, 130.708, 8.364, 10.748 False
262.289, 130.697, 8.364, 10.781 False
262.011, 130.686, 8.363, 10.814 False
261.732, 130.675, 8.362, 10.847 False
261.454, 130.664, 8.362, 10.880 False
261.175, 130.652, 8.361, 10.913 False
260.897, 130.641, 8.360, 10.946 False
260.618, 130.629, 8.360, 10.979 False
260.340, 130.617, 8.359, 11.012 False
260.062, 130.605, 8.358, 11.045 False
259.783, 130.594, 8.358, 11.078 False
259.505, 130.582, 8.357, 11.111 False
259.227, 130.570, 8.356, 11.144 False
258.949, 130.558, 8.356, 11.177 False
258.670, 130.546, 8.355, 11.210 False
258.392, 130.533, 8.355, 11.243 False
258.114, 130.521, 8.354, 11.276 False
257.836, 130.509, 8.354, 11.309 False
257.557, 130.497, 8.353, 11.342 False
257.279, 130.484, 8.353, 11.375 False
257.001, 130.472, 8.352, 11.408 False
256.723, 130.459, 8.352, 11.441 False
256.445, 130.447, 8.351, 11.474 False
256.167, 130.434, 8.351, 11.507 False
255.889, 130.422, 8.350, 11.540 False
